"The Day Ahead Auction prices for the following bidding zones is published without any change under the CC BY 4.0 (creativecommons.org/licenses/by/4.0) license with the source Bundesnetzagentur | SMARD.de: AT, BE, CH, CZ, DE-LU, DE-AT-LU, DK1, DK2, FR, HU, IT-NORTH, NL, NO2, PL, SE4, SI",,,
Date (GMT+2),Non-Renewable,Renewable,Day Ahead Auction (DE-LU)
,Power (MW),Power (MW),"Price (EUR/MWh, EUR/tCO2)"
2024-08-12T00:00+02:00,12790.62,14568.86,104.98
2024-08-12T01:00+02:00,12546.27,14312.21,94.62
2024-08-12T02:00+02:00,12473.76,14266.81,85.3
2024-08-12T03:00+02:00,12574.32,14118.23,86.6
2024-08-12T04:00+02:00,12860.65,14155.28,88.85
2024-08-12T05:00+02:00,13428.04,14448.35,114.54
2024-08-12T06:00+02:00,14479.26,16128.6,153.82
2024-08-12T07:00+02:00,14800.12,21001.73,153.82
2024-08-12T08:00+02:00,13465.22,28361.87,115.25
2024-08-12T09:00+02:00,10878.77,37409.77,69.9
2024-08-12T10:00+02:00,8713.37,45751.7,40.12
2024-08-12T11:00+02:00,8537.5,50915.67,16.04
2024-08-12T12:00+02:00,8406.95,54620.62,10.06
2024-08-12T13:00+02:00,8497.96,55236.52,6.98
2024-08-12T14:00+02:00,8518.55,53294.28,13.8
2024-08-12T15:00+02:00,8817.34,48978.88,27.87
2024-08-12T16:00+02:00,10783.34,42342.76,48.65
2024-08-12T17:00+02:00,15213.17,34463.59,89.29
2024-08-12T18:00+02:00,19710.68,26075.47,122.78
2024-08-12T19:00+02:00,22688.39,19658.36,206.02
2024-08-12T20:00+02:00,23013.52,17117.6,224.84
2024-08-12T21:00+02:00,23035.78,19513.85,128.34
2024-08-12T22:00+02:00,22617.82,22095.82,106.88
2024-08-12T23:00+02:00,21201.52,23614.16,100.05
2024-08-13T00:00+02:00,20726.89,24092.45,99.64
2024-08-13T01:00+02:00,19884.3,24044.4,87.91
2024-08-13T02:00+02:00,19266.01,23999.78,86.6
2024-08-13T03:00+02:00,18259.77,23132.32,84.79
2024-08-13T04:00+02:00,17688.21,22712.06,84.76
2024-08-13T05:00+02:00,17932,22325.6,101.37
2024-08-13T06:00+02:00,18547.43,22835.95,125.66
2024-08-13T07:00+02:00,18671.06,26073.86,133.71
2024-08-13T08:00+02:00,18144.58,31707.66,117.89
2024-08-13T09:00+02:00,15797.09,39214.72,87.81
2024-08-13T10:00+02:00,12560.98,46996.63,66.67
2024-08-13T11:00+02:00,10951.91,53765.49,55.94
2024-08-13T12:00+02:00,9997.83,57246.85,43.01
2024-08-13T13:00+02:00,9522.12,57314.27,40.37
2024-08-13T14:00+02:00,9636.81,54862.16,47.96
2024-08-13T15:00+02:00,9825.21,49201.62,64.15
2024-08-13T16:00+02:00,11538.09,42417.55,86
2024-08-13T17:00+02:00,15998.32,34264.88,105
2024-08-13T18:00+02:00,20497.46,26885.49,121.04
2024-08-13T19:00+02:00,22915.75,23762.49,202.72
2024-08-13T20:00+02:00,22725.95,23859.01,205.35
2024-08-13T21:00+02:00,21257.73,26306.98,128.9
2024-08-13T22:00+02:00,19701.64,26015.18,111.48
2024-08-13T23:00+02:00,18091.22,26146.04,104.99
2024-08-14T00:00+02:00,16701.11,24096.04,87.73
2024-08-14T01:00+02:00,16831.79,20075.74,90.79
2024-08-14T02:00+02:00,17907.77,19461.36,87.73
2024-08-14T03:00+02:00,17954.24,18442.86,93.4
2024-08-14T04:00+02:00,18491.73,17720.32,93.6
2024-08-14T05:00+02:00,19791.99,16493.73,107.1
2024-08-14T06:00+02:00,20607.26,17226.85,129.74
2024-08-14T07:00+02:00,20828.94,20450.4,136.62
2024-08-14T08:00+02:00,20142.89,26191.22,120.96
2024-08-14T09:00+02:00,17900.25,32975.71,108.79
2024-08-14T10:00+02:00,15430.44,39004.06,83.08
2024-08-14T11:00+02:00,14358.5,43800.8,77.24
2024-08-14T12:00+02:00,13984.82,46977.29,72.85
2024-08-14T13:00+02:00,13817.82,47441.31,75.38
2024-08-14T14:00+02:00,13758.59,45355.63,74.71
2024-08-14T15:00+02:00,14862.75,41052.23,81.74
2024-08-14T16:00+02:00,17513.95,35265.13,94.36
2024-08-14T17:00+02:00,20913,28283.01,105.59
2024-08-14T18:00+02:00,23347.88,20932.55,111.48
2024-08-14T19:00+02:00,24647.07,15447.07,161.41
2024-08-14T20:00+02:00,25220.22,12578.3,218.92
2024-08-14T21:00+02:00,25117.72,12056.11,148.7
2024-08-14T22:00+02:00,24507.56,11923.39,120.43
2024-08-14T23:00+02:00,23696.19,11527.06,109.95
2024-08-15T00:00+02:00,22795.58,11757.21,110.33
2024-08-15T01:00+02:00,22202.29,11544.41,109.66
2024-08-15T02:00+02:00,21166.72,11529.66,105.3
2024-08-15T03:00+02:00,20576.7,11360.58,94.74
2024-08-15T04:00+02:00,20902.7,11279.8,96.02
2024-08-15T05:00+02:00,21251.49,11392.8,108.91
2024-08-15T06:00+02:00,21425.33,12110.46,119.75
2024-08-15T07:00+02:00,21438.68,15727.3,120.71
2024-08-15T08:00+02:00,19864.99,21803.24,114.97
2024-08-15T09:00+02:00,15360.75,29471.94,91.12
2024-08-15T10:00+02:00,11714.02,37400.21,59.1
2024-08-15T11:00+02:00,10169.71,44686.31,19.94
2024-08-15T12:00+02:00,9880.39,49200.86,9.86
2024-08-15T13:00+02:00,9679.07,51186.9,0.01
2024-08-15T14:00+02:00,9655.82,50308.88,-0.04
2024-08-15T15:00+02:00,9649.52,48055.09,4.25
2024-08-15T16:00+02:00,10016.14,43786.96,33.41
2024-08-15T17:00+02:00,11842.05,37304,77.26
2024-08-15T18:00+02:00,16946.7,28103.45,119.93
2024-08-15T19:00+02:00,19554.79,19883.65,142.51
2024-08-15T20:00+02:00,20165.57,16404.92,160.3
2024-08-15T21:00+02:00,20082.95,15959.73,140.84
2024-08-15T22:00+02:00,19392.32,16919.99,118.87
2024-08-15T23:00+02:00,18215.98,17040.11,94.94
2024-08-16T00:00+02:00,17632.25,17681.57,108.97
2024-08-16T01:00+02:00,16102.4,16902.82,86.78
2024-08-16T02:00+02:00,16193.21,16593.15,85.58
2024-08-16T03:00+02:00,15681.14,16341.57,85.83
2024-08-16T04:00+02:00,16193.41,15637.33,87.76
2024-08-16T05:00+02:00,17470.89,15764.82,92.05
2024-08-16T06:00+02:00,18271.58,17721.57,128.42
2024-08-16T07:00+02:00,18584.12,22193.45,134.91
2024-08-16T08:00+02:00,17984.7,30253.42,124.83
2024-08-16T09:00+02:00,14599.1,39358.04,100.95
2024-08-16T10:00+02:00,12092.09,48110.24,76.15
2024-08-16T11:00+02:00,10392.75,53411.22,59.83
2024-08-16T12:00+02:00,,,50.68
2024-08-16T13:00+02:00,,,49.93
2024-08-16T14:00+02:00,,,47.57
2024-08-16T15:00+02:00,,,55.16
2024-08-16T16:00+02:00,,,82.67
2024-08-16T17:00+02:00,,,103.76
2024-08-16T18:00+02:00,,,134.92
2024-08-16T19:00+02:00,,,230.52
2024-08-16T20:00+02:00,,,243.12
2024-08-16T21:00+02:00,,,171.83
2024-08-16T22:00+02:00,,,134.54
2024-08-16T23:00+02:00,,,116.17
2024-08-17T00:00+02:00,,,
2024-08-17T01:00+02:00,,,
2024-08-17T02:00+02:00,,,
2024-08-17T03:00+02:00,,,
2024-08-17T04:00+02:00,,,
2024-08-17T05:00+02:00,,,
2024-08-17T06:00+02:00,,,
2024-08-17T07:00+02:00,,,
2024-08-17T08:00+02:00,,,
2024-08-17T09:00+02:00,,,
2024-08-17T10:00+02:00,,,
2024-08-17T11:00+02:00,,,
2024-08-17T12:00+02:00,,,
2024-08-17T13:00+02:00,,,
2024-08-17T14:00+02:00,,,
2024-08-17T15:00+02:00,,,
2024-08-17T16:00+02:00,,,
2024-08-17T17:00+02:00,,,
2024-08-17T18:00+02:00,,,
2024-08-17T19:00+02:00,,,
2024-08-17T20:00+02:00,,,
2024-08-17T21:00+02:00,,,
2024-08-17T22:00+02:00,,,
2024-08-17T23:00+02:00,,,